Name,Logging,Property,Easting,Northing,Lat,Long,Cam nr,series,,picture,species name,Species,Type,Nr,Total,Year,Month ,Day,Hour Exact,Comment,camera brand,Location,Logging
04B,Yes,Laguna Seca,287639,1949425,17.62142200,-89.00144600,4,B,,345,Ocellated Turkey,Meleagris ocellata,Bird,2,,2020,5,2,11.32,,,,
11C,Yes,Laguna Seca,290853,1951848,17.64361000,-88.97140600,11,C,,268,Ocellated Turkey,Meleagris ocellata,Bird,2,,2020,6,13,5.36,,,,
11C,Yes,Laguna Seca,290853,1951848,17.64361000,-88.97140600,11,C,,301,Ocellated Turkey,Meleagris ocellata,Bird,2,,2020,6,20,12.38,,,,
11C,Yes,Laguna Seca,290853,1951848,17.64361000,-88.97140600,11,C,,310,Ocellated Turkey,Meleagris ocellata,Bird,2,,2020,6,20,16.18,,,,
11D,Yes,Laguna Seca,290851,1951849,17.64362100,-88.97142600,11,D,,25,Ocellated Turkey,Meleagris ocellata,Bird,2,,2020,7,22,5.59,,,,
11D,Yes,Laguna Seca,290851,1951849,17.64362100,-88.97142600,11,D,,127,Ocellated Turkey,Meleagris ocellata,Bird,2,,2020,8,2,15.50,,,,
11D,Yes,Laguna Seca,290851,1951849,17.64362100,-88.97142600,11,D,,130,Ocellated Turkey,Meleagris ocellata,Bird,2,,2020,8,3,7.32,,,,
11D,Yes,Laguna Seca,290851,1951849,17.64362100,-88.97142600,11,D,,145,Ocellated Turkey,Meleagris ocellata,Bird,2,,2020,8,4,6.16,,,,
11D,Yes,Laguna Seca,290851,1951849,17.64362100,-88.97142600,11,D,,181,Ocellated Turkey,Meleagris ocellata,Bird,2,,2020,8,5,17.46,,,,
11E,Yes,Laguna Seca,290905,1952384,17.64846300,-88.97096900,11,E,,1,Ocellated Turkey,Meleagris ocellata,Bird,2,,2020,8,11,9.59,,,,
11E,Yes,Laguna Seca,290905,1952384,17.64846300,-88.97096900,11,E,,58,Ocellated Turkey,Meleagris ocellata,Bird,2,,2020,8,28,11.34,,,,
12E,Yes,Laguna Seca,285829,1953728,17.66011600,-89.01892500,12,E,,193,Great Curassow,Crax rubra,Bird,2,,2020,9,7,8.01,,,,
13D,Yes,Laguna Seca,289870,1951695,17.64213900,-88.98064900,13,D,,127,Ocellated Turkey,Meleagris ocellata,Bird,2,,2020,7,2,17.54,,,,
13D,Yes,Laguna Seca,289870,1951695,17.64213900,-88.98064900,13,D,,370,Ocellated Turkey,Meleagris ocellata,Bird,2,,2020,7,20,7.44,,,,
13D,Yes,Laguna Seca,289870,1951695,17.64213900,-88.98064900,13,D,,436,Ocellated Turkey,Meleagris ocellata,Bird,2,,2020,7,30,11.25,,,,
13D,Yes,Laguna Seca,289870,1951695,17.64213900,-88.98064900,13,D,,511,Ocellated Turkey,Meleagris ocellata,Bird,2,,2020,8,6,17.58,,,,
13E,Yes,Laguna Seca,289293,1951344,17.63891200,-88.98604900,13,E,,64,Ocellated Turkey,Meleagris ocellata,Bird,2,,2020,9,4,6.24,,,,
01F,Yes,Laguna Seca,284751,1939654,17.53287600,-89.02766500,1,F,,1252,Baird's Tapir,Tapirus bairdii,Mammal,2,,2020,9,13,18.20,,,,
02F,Yes,Laguna Seca,284986,1938087,17.51874300,-89.02529900,2,F,,51,Baird's Tapir,Tapirus bairdii,Mammal,2,,2020,8,30,1.08,,,,
04D,Yes,Laguna Seca,287464,1948463,17.61271800,-89.00299800,4,D,,41,Paca,Cuniculus paca,Mammal,2,,2020,7,16,0.15,,,,
04E,Yes,Laguna Seca,287465,1948470,17.61277500,-89.00299100,4,E,,41,Red Brocket Deer,Mazama temama,Mammal,2,,2020,8,14,17.42,,,,
04E,Yes,Laguna Seca,287465,1948470,17.61277500,-89.00299100,4,E,,145,White-tailed Deer,Odocoileus virginianus,Mammal,2,,2020,9,7,11.02,,,,
04G,Yes,Laguna Seca,286794,1948687,17.614674,-89.009328,4,G,,61,White-tailed Deer,Odocoileus virginianus,Mammal,2,,2020,11,26,8.43,,,,
04G,Yes,Laguna Seca,286794,1948687,17.614674,-89.009328,4,G,,69,White-tailed Deer,Odocoileus virginianus,Mammal,2,,2020,11,26,9.04,,,,
12E,Yes,Laguna Seca,285829,1953728,17.66011600,-89.01892500,12,E,,206,White-tailed Deer,Odocoileus virginianus,Mammal,2,,2020,9,8,9.26,,,,
13B,Yes,Laguna Seca,289492,1951376,17.63922100,-88.98418000,13,B,,256,Jaguar,Panthera onca,Mammal,2,,2020,4,2,22.45,,,,
13C,Yes,Laguna Seca,289865,1951697,17.64215300,-88.98069800,13,C,,184,Gray fox,Urocyon cinereoargenteus,Mammal,2,,2020,6,15,9.14,,,,
13D,Yes,Laguna Seca,289870,1951695,17.64213900,-88.98064900,13,D,,49,Gray fox,Urocyon cinereoargenteus,Mammal,2,,2020,6,27,22.30,,,,
13D,Yes,Laguna Seca,289870,1951695,17.64213900,-88.98064900,13,D,,109,Gray fox,Urocyon cinereoargenteus,Mammal,2,,2020,7,1,0.05,,,,
13D,Yes,Laguna Seca,289870,1951695,17.64213900,-88.98064900,13,D,,395,White-tailed Deer,Odocoileus virginianus,Mammal,2,,2020,7,21,15.27,,,,
01B,Yes,Yalbac,286795,1939898,17.53528000,-89.00844200,1,B,,460,Gray-headed Dove,Leptotila plumbeiceps,Bird,2,,2020,3,20,7.27,,,,
