Location,Cam nr,series,picture,species name,Nr,Year,Month ,Day,Hour Exact,Comment,camera brand,Location,Logging
Yalbac 702A,702,A,319,Great Curassow,2,2017,3,21,8.17,,Moultrie,Laguna Seca,Yes
Yalbac 702A,702,A,352,Great Curassow,1,2017,3,23,11.58,,Moultrie,Laguna Seca,Yes
Yalbac 702A,702,A,646,Great Curassow,2,2017,4,23,7.27,,Moultrie,Laguna Seca,Yes
Yalbac 702A,702,A,652,Great Curassow,1,2017,4,24,6.56,,Moultrie,Laguna Seca,Yes
Yalbac 702A,702,A,213,Humans,2,2017,2,20,14.09,Neeltje en Amber,Moultrie,Laguna Seca,Yes
Yalbac 702A,702,A,34,Jaguar,1,2017,2,22,3.14,,Moultrie,Laguna Seca,Yes
Yalbac 702A,702,A,79,Jaguar,1,2017,2,24,19.21,,Moultrie,Laguna Seca,Yes
Yalbac 702A,702,A,82,Jaguar,1,2017,2,25,1.1,,Moultrie,Laguna Seca,Yes
Yalbac 702A,702,A,94,Jaguar,1,2017,3,2,4.16,,Moultrie,Laguna Seca,Yes
Yalbac 702A,702,A,160,Jaguar,1,2017,3,8,14.57,,Moultrie,Laguna Seca,Yes
Yalbac 702A,702,A,196,Jaguar,1,2017,3,9,19.05,,Moultrie,Laguna Seca,Yes
Yalbac 702A,702,A,313,Jaguar,1,2017,3,20,19.43,,Moultrie,Laguna Seca,Yes
Yalbac 702A,702,A,436,Mottled Owl,1,2017,4,2,5.23,,Moultrie,Laguna Seca,Yes
Yalbac 702A,702,A,8,Neeltje,1,2017,2,20,14.12,Neeltje ,Moultrie,Laguna Seca,Yes
Yalbac 702A,702,A,232,Ocellated Turkey,1,2017,3,13,14.59,,Moultrie,Laguna Seca,Yes
Yalbac 702A,702,A,235,Ocellated Turkey,1,2017,3,13,15.54,,Moultrie,Laguna Seca,Yes
Yalbac 702A,702,A,37,Ocellated Turkey,1,2017,1,28,17.1,,Moultrie,Laguna Seca,Yes
Yalbac 702A,702,A,115,Ocellated Turkey,1,2017,3,5,8.06,,Moultrie,Laguna Seca,Yes
Yalbac 702A,702,A,238,Ocellated Turkey,1,2017,3,13,17.11,,Moultrie,Laguna Seca,Yes
Yalbac 702A,702,A,274,Ocellated Turkey,1,2017,3,16,16.32,,Moultrie,Laguna Seca,Yes
Yalbac 702A,702,A,304,Ocellated Turkey,1,2017,3,19,7.17,,Moultrie,Laguna Seca,Yes
Yalbac 702A,702,A,310,Ocellated Turkey,1,2017,3,20,8,,Moultrie,Laguna Seca,Yes
Yalbac 702A,702,A,406,Ocellated Turkey,1,2017,3,28,15.47,,Moultrie,Laguna Seca,Yes
Yalbac 702A,702,A,415,Ocellated Turkey,1,2017,3,30,6.55,,Moultrie,Laguna Seca,Yes
Yalbac 702A,702,A,421,Ocellated Turkey,1,2017,3,31,16.16,,Moultrie,Laguna Seca,Yes
Yalbac 702A,702,A,508,Ocellated Turkey,1,2017,4,10,17.56,,Moultrie,Laguna Seca,Yes
Yalbac 702A,702,A,562,Ocellated Turkey,8,2017,4,18,7.07,,Moultrie,Laguna Seca,Yes
Yalbac 702A,702,A,34,Ocelot,1,2017,1,27,23.59,,Moultrie,Laguna Seca,Yes
Yalbac 702A,702,A,43,Ocelot,1,2017,1,30,22.12,,Moultrie,Laguna Seca,Yes
Yalbac 702A,702,A,46,Ocelot,1,2017,1,31,0.52,,Moultrie,Laguna Seca,Yes
Yalbac 702A,702,A,133,Ocelot,1,2017,2,10,6.17,,Moultrie,Laguna Seca,Yes
Yalbac 702A,702,A,148,Ocelot,1,2017,2,10,20.18,,Moultrie,Laguna Seca,Yes
Yalbac 702A,702,A,184,Ocelot,1,2017,2,16,2.55,,Moultrie,Laguna Seca,Yes
Yalbac 702A,702,A,193,Ocelot,1,2017,2,20,1.54,,Moultrie,Laguna Seca,Yes
Yalbac 702A,702,A,28,Ocelot,1,2017,2,21,21.29,,Moultrie,Laguna Seca,Yes
Yalbac 702A,702,A,31,Ocelot,1,2017,2,22,2.17,,Moultrie,Laguna Seca,Yes
Yalbac 702A,702,A,43,Ocelot,1,2017,2,22,19.26,,Moultrie,Laguna Seca,Yes
Yalbac 702A,702,A,136,Ocelot,1,2017,3,7,14.45,,Moultrie,Laguna Seca,Yes
Yalbac 702A,702,A,178,Ocelot,1,2017,3,9,5.52,,Moultrie,Laguna Seca,Yes
Yalbac 702A,702,A,289,Ocelot,1,2017,3,18,0.56,,Moultrie,Laguna Seca,Yes
Yalbac 702A,702,A,307,Ocelot,1,2017,3,19,23.37,,Moultrie,Laguna Seca,Yes
Yalbac 702A,702,A,340,Ocelot,1,2017,3,22,18.46,,Moultrie,Laguna Seca,Yes
Yalbac 702A,702,A,409,Ocelot,1,2017,3,28,20.04,,Moultrie,Laguna Seca,Yes
Yalbac 702A,702,A,455,Ocelot,1,2017,4,5,3,,Moultrie,Laguna Seca,Yes
Yalbac 702A,702,A,535,Ocelot,1,2017,4,13,21.14,,Moultrie,Laguna Seca,Yes
Yalbac 702A,702,A,560,Ocelot,1,2017,4,18,1.34,,Moultrie,Laguna Seca,Yes
Yalbac 702A,702,A,568,Ocelot,1,2017,4,18,21.28,,Moultrie,Laguna Seca,Yes
Yalbac 702A,702,A,644,Ocelot,1,2017,4,22,23.45,,Moultrie,Laguna Seca,Yes
Yalbac 702A,702,A,691,Ocelot,1,2017,4,26,18.47,,Moultrie,Laguna Seca,Yes
Yalbac 702A,702,A,103,Puma,1,2017,2,5,0.49,,Moultrie,Laguna Seca,Yes
Yalbac 702A,702,A,391,Puma,1,2017,3,26,23.53,,Moultrie,Laguna Seca,Yes
Yalbac 702A,702,A,457,Puma,1,2017,4,6,2.14,,Moultrie,Laguna Seca,Yes
Yalbac 702A,702,A,282,White-nosed Coati,1,2017,3,16,18.02,,Moultrie,Laguna Seca,Yes
Yalbac 702A,702,A,292,White-tailed Deer,1,2017,3,18,9.22,,Moultrie,Laguna Seca,Yes
Yalbac 702A,702,A,295,White-tailed Deer,1,2017,3,18,16.19,,Moultrie,Laguna Seca,Yes
Yalbac 702B,702,B,490,Agouti,1,2017,6,10,7.08,,Moultrie,Laguna Seca,Yes
Yalbac 702B,702,B,37,Gray fox,1,2017,5,15,21.07,,Moultrie,Laguna Seca,Yes
Yalbac 702B,702,B,220,Gray fox,1,2017,5,18,8.14,,Moultrie,Laguna Seca,Yes
Yalbac 702B,702,B,235,Gray fox,1,2017,5,19,14,,Moultrie,Laguna Seca,Yes
Yalbac 702B,702,B,241,Gray fox,1,2017,5,20,10.05,,Moultrie,Laguna Seca,Yes
Yalbac 702B,702,B,253,Gray fox,1,2017,5,22,23.2,,Moultrie,Laguna Seca,Yes
Yalbac 702B,702,B,496,Gray fox,1,2017,6,12,3.3,,Moultrie,Laguna Seca,Yes
Yalbac 702B,702,B,508,Gray fox,1,2017,6,14,4,,Moultrie,Laguna Seca,Yes
Yalbac 702B,702,B,544,Gray fox,1,2017,6,21,11.16,,Moultrie,Laguna Seca,Yes
Yalbac 702B,702,B,550,Gray fox,1,2017,6,21,13.58,,Moultrie,Laguna Seca,Yes
Yalbac 702B,702,B,559,Gray fox,1,2017,6,26,5.08,,Moultrie,Laguna Seca,Yes
Yalbac 702B,702,B,598,Gray fox,1,2017,6,29,12.25,,Moultrie,Laguna Seca,Yes
Yalbac 702B,702,B,607,Gray fox,2,2017,7,1,6.46,,Moultrie,Laguna Seca,Yes
Yalbac 702B,702,B,652,Gray fox,1,2017,7,4,9.25,,Moultrie,Laguna Seca,Yes
Yalbac 702B,702,B,673,Gray fox,1,2017,7,7,10.57,,Moultrie,Laguna Seca,Yes
Yalbac 702B,702,B,680,Gray fox,1,2017,7,8,11.21,,Moultrie,Laguna Seca,Yes
Yalbac 702B,702,B,703,Gray fox,1,2017,7,10,9.51,,Moultrie,Laguna Seca,Yes
Yalbac 702B,702,B,712,Gray fox,1,2017,7,12,8.01,,Moultrie,Laguna Seca,Yes
Yalbac 702B,702,B,718,Gray fox,1,2017,7,12,15.05,,Moultrie,Laguna Seca,Yes
Yalbac 702B,702,B,721,Gray fox,1,2017,7,13,8.46,,Moultrie,Laguna Seca,Yes
Yalbac 702B,702,B,727,Gray fox,1,2017,7,13,16.22,,Moultrie,Laguna Seca,Yes
Yalbac 702B,702,B,733,Gray fox,1,2017,7,14,5.52,,Moultrie,Laguna Seca,Yes
Yalbac 702B,702,B,742,Gray fox,1,2017,7,14,16.47,,Moultrie,Laguna Seca,Yes
Yalbac 702B,702,B,754,Gray fox,1,2017,7,16,13.32,,Moultrie,Laguna Seca,Yes
Yalbac 702B,702,B,757,Gray fox,1,2017,7,16,15.14,,Moultrie,Laguna Seca,Yes
Yalbac 702B,702,B,367,Great Curassow,2,2017,5,28,17.41,,Moultrie,Laguna Seca,Yes
Yalbac 702B,702,B,373,Great Curassow,1,2017,5,29,6.16,,Moultrie,Laguna Seca,Yes
Yalbac 702B,702,B,385,Great Curassow,1,2017,5,30,8.48,,Moultrie,Laguna Seca,Yes
Yalbac 702B,702,B,400,Great Curassow,1,2017,6,3,6.46,,Moultrie,Laguna Seca,Yes
Yalbac 702B,702,B,406,Great Curassow,1,2017,6,4,12.56,,Moultrie,Laguna Seca,Yes
Yalbac 702B,702,B,409,Great Curassow,1,2017,6,5,12.03,,Moultrie,Laguna Seca,Yes
Yalbac 702B,702,B,511,Great Curassow,1,2017,6,15,8.15,,Moultrie,Laguna Seca,Yes
Yalbac 702B,702,B,514,Great Curassow,1,2017,6,16,8.47,,Moultrie,Laguna Seca,Yes
Yalbac 702B,702,B,520,Great Curassow,1,2017,6,16,14.24,,Moultrie,Laguna Seca,Yes
Yalbac 702B,702,B,526,Great Curassow,1,2017,6,17,6.52,,Moultrie,Laguna Seca,Yes
Yalbac 702B,702,B,532,Great Curassow,1,2017,6,18,12.47,,Moultrie,Laguna Seca,Yes
Yalbac 702B,702,B,535,Great Curassow,1,2017,6,19,13.05,,Moultrie,Laguna Seca,Yes
Yalbac 702B,702,B,541,Great Curassow,1,2017,6,21,10.08,,Moultrie,Laguna Seca,Yes
Yalbac 702B,702,B,553,Great Curassow,2,2017,6,23,8.51,,Moultrie,Laguna Seca,Yes
Yalbac 702B,702,B,556,Great Curassow,1,2017,6,24,9.52,,Moultrie,Laguna Seca,Yes
Yalbac 702B,702,B,562,Great Curassow,1,2017,6,26,6.24,,Moultrie,Laguna Seca,Yes
Yalbac 702B,702,B,565,Great Curassow,1,2017,6,26,12.48,,Moultrie,Laguna Seca,Yes
Yalbac 702B,702,B,574,Great Curassow,1,2017,6,26,18.19,,Moultrie,Laguna Seca,Yes
Yalbac 702B,702,B,577,Great Curassow,1,2017,6,27,10.55,,Moultrie,Laguna Seca,Yes
Yalbac 702B,702,B,595,Great Curassow,1,2017,6,29,6.59,,Moultrie,Laguna Seca,Yes
Yalbac 702B,702,B,604,Great Curassow,1,2017,6,30,5.39,,Moultrie,Laguna Seca,Yes
Yalbac 702B,702,B,616,Great Curassow,1,2017,7,2,6.17,,Moultrie,Laguna Seca,Yes
Yalbac 702B,702,B,619,Great Curassow,2,2017,7,2,6.33,,Moultrie,Laguna Seca,Yes
Yalbac 702B,702,B,636,Great Curassow,1,2017,7,2,11.17,,Moultrie,Laguna Seca,Yes
Yalbac 702B,702,B,658,Great Curassow,1,2017,7,5,12.36,,Moultrie,Laguna Seca,Yes
Yalbac 702B,702,B,682,Great Curassow,1,2017,7,9,8.13,,Moultrie,Laguna Seca,Yes
Yalbac 702B,702,B,706,Great Curassow,2,2017,7,10,17.34,,Moultrie,Laguna Seca,Yes
