Location,Cam nr,Series,Easting,Northing,Picture,Species,Nr,Year,Month,Day,Hour_exact,Hour_BERDS,Comment,Camera Brand,No_Sr,Easting,Northing,
Yalbac507H,507,H,,,223,Agouti,1,2016,12,14,6.29,6.5,Time off,Bushnell,507H,283483,1934993.94,
Yalbac505G,505,G,,,175,Agouti,1,2015,12,23,8.18,8.5,,Moultrie,505G,291021,1956145,
Yalbac506G,506,G,,,430,Agouti,1,2015,12,23,9.16,9.5,,Bushnell,506G,292534,1956194,
Yalbac505G,505,G,,,187,Agouti,1,2015,12,24,6.46,7,,Moultrie,505G,291021,1956145,
Yalbac505G,505,G,,,208,Agouti,1,2015,12,31,8.08,8,,Moultrie,505G,291021,1956145,
Yalbac503G,503,G,,,33,Bare-throated Tiger Heron,1,2015,12,17,15.1,15,,Bushnell,503G,291304,1957372,
Yalbac503E,503,E,,,751,Birds,2,2015,9,11,17.45,18,,Bushnell,503 E,291322,1957347,
Yalbac505G,505,G,,,226,Black-faced Ant Thrush,1,2016,1,1,8.09,8,,Moultrie,505G,291021,1956145,
Yalbac503D,503,D,,,241,Black-faced Ant Thrush,1,2015,6,11,14.55,15,,Bushnell,503 D,292559,1958254,
Yalbac503D,503,D,,,826,Black-faced Ant Thrush,1,2015,7,21,14.38,14.5,,Bushnell,503 D,292559,1958254,
Yalbac503D,503,D,,,836,Black-faced Ant Thrush,2,2015,7,21,18.35,18.5,,Bushnell,503 D,292559,1958254,
Yalbac503D,503,D,,,841,Black-faced Ant Thrush,1,2015,7,22,5.4,5.5,,Bushnell,503 D,292559,1958254,
Yalbac503D,503,D,,,892,Black-faced Ant Thrush,1,2015,7,22,18.15,18.5,,Bushnell,503 D,292559,1958254,
Yalbac503D,503,D,,,901,Black-faced Ant Thrush,1,2015,7,23,5.31,5.5,,Bushnell,503 D,292559,1958254,
Yalbac503D,503,D,,,920,Black-faced Ant Thrush,2,2015,7,23,18.07,18,,Bushnell,503 D,292559,1958254,
Yalbac503D,503,D,,,967,Black-faced Ant Thrush,1,2015,7,25,5.35,5.5,,Bushnell,503 D,292559,1958254,
Yalbac503D,503,D,,,16,Black-faced Ant Thrush,1,2015,7,26,18.16,18.5,,Bushnell,503 D,292559,1958254,
Yalbac503D,503,D,,,982,Black-faced Ant Thrush,1,2015,7,26,5.44,5.5,,Bushnell,503 D,292559,1958254,
Yalbac503D,503,D,,,85,Black-faced Ant Thrush,1,2015,7,28,17.3,17.5,,Bushnell,503 D,292559,1958254,
Yalbac501f,501,F,,,164,Blue Ground Dove,1,2015,10,25,12.42,12.5,,,501F,292314,1958107,
Yalbac503D,503,D,,,784,Blue Ground Dove,1,2015,7,19,14.19,14.5,,Bushnell,503 D,292559,1958254,
Yalbac503D,503,D,,,910,Blue Ground Dove,1,2015,7,23,15.39,15.5,,Bushnell,503 D,292559,1958254,
Yalbac507H,507,H,,,1009,Clay coloured Thrush,1,2016,2,24,9.3,9.5,Time off,Bushnell,507H,283483,1934993.94,
Yalbac507H,507,H,,,1073,Clay coloured Thrush,1,2016,3,1,5.54,6,Time off,Bushnell,507H,283483,1934993.94,
Yalbac512E,512,E,,,815,Collared Pecary,1,2015,8,8,8.06,8,,ScoutGuard,512 E,282178,1935684,
Yalbac510D,510,D,,,112,Collared Pecary,2,2015,6,30,9.34,9.5,,Moultrie,510 D,282702,1935595,
Yalbac510D,510,D,,,130,Collared Pecary,1,2015,7,8,8,8,,Moultrie,510 D,282702,1935595,
Yalbac504F,504,F,,,781,Collared Pecary,11,2015,10,3,7.18,7.5,,HCO ScoutGuard,504F,289314,1956370,
Yalbac507H,507,H,,,667,Crested Guan,1,2016,1,29,7.5,9,Time off,Bushnell,507H,283483,1934993.94,
Yalbac507H,507,H,,,712,Crested Guan,2,2016,2,3,6.5,7,Time off,Bushnell,507H,283483,1934993.94,
Yalbac509c,509,C,,,145,Crested Guan,1,2015,5,29,8.36,8.5,,Bushnell,509 C,280114,1935198,
Yalbac507E,507,E,,,77,Crested Guan,2,2015,8,7,9.05,9,,Bushnell,507 E,283482,1934992,
Yalbac507E,507,E,,,110,Crested Guan,1,2015,8,8,17.05,17,,Bushnell,507 E,283482,1934992,
Yalbac507E,507,E,,,117,Crested Guan,1,2015,8,9,7.36,7.5,,Bushnell,507 E,283482,1934992,
Yalbac507E,507,E,,,134,Crested Guan,2,2015,8,9,7.45,75,,Bushnell,507 E,283482,1934992,
Yalbac507E,507,E,,,145,Crested Guan,3,2015,8,9,10.16,10,drinking water from poddle,Bushnell,507 E,283482,1934992,
Yalbac506E,506,E,,,83,Crested Guan,1,2015,8,12,10.35,10.5,,Bushnell,506 E,292491,1955895,
Yalbac506E,506,E,,,94,Crested Guan,1,2015,8,13,8.08,8,,Bushnell,506 E,292491,1955895,
Yalbac506E,506,E,,,143,Crested Guan,2,2015,8,19,7.56,7.5,,Bushnell,506 E,292491,1955895,
Yalbac504E,504,E,,,487,Crested Guan,2,2015,8,25,8.04,8,,Scoutguard,504 E,290567,1955971,
Yalbac504E,504,E,,,518,Crested Guan,1,2015,8,26,15.37,15.5,,Scoutguard,504 E,290567,1955971,
Yalbac506E,506,E,,,216,Crested Guan,1,2015,8,27,17.1,17,,Bushnell,506 E,292491,1955895,
Yalbac504E,504,E,,,540,Crested Guan,1,2015,8,28,19.02,19,,Scoutguard,504 E,290567,1955971,
Yalbac504E,504,E,,,565,Crested Guan,1,2015,8,30,17.46,18,,Scoutguard,504 E,290567,1955971,
Yalbac506E,506,E,,,245,Crested Guan,2,2015,8,30,7.41,7.5,,Bushnell,506 E,292491,1955895,
Yalbac504E,504,E,,,614,Crested Guan,2,2015,9,4,10.29,10.5,,Scoutguard,504 E,290567,1955971,
Yalbac504E,504,E,,,623,Crested Guan,1,2015,9,4,11.13,11.5,,Scoutguard,504 E,290567,1955971,
Yalbac504E,504,E,,,646,Crested Guan,1,2015,9,5,15.46,16,,Scoutguard,504 E,290567,1955971,
Yalbac504E,504,E,,,820,Crested Guan,1,2015,9,12,8.37,8.5,,Scoutguard,504 E,290567,1955971,
Yalbac504E,504,E,,,871,Crested Guan,1,2015,9,12,18.34,18.5,,Scoutguard,504 E,290567,1955971,
Yalbac504E,504,E,,,878,Crested Guan,1,2015,9,14,8.54,9,,Scoutguard,504 E,290567,1955971,
Yalbac504F,504,F,,,11,Crested Guan,1,2015,9,17,11.06,11,,HCO ScoutGuard,504F,289314,1956370,
Yalbac507G,507,G,,,46,Crested Guan,2,2015,11,22,10.46,10.5,,Bushnell,507G,282985,1935446,
Yalbac502G,502,G,,,3745,Crested Guan,2,2015,11,28,11.33,11.5,,Moultrie,502G,289511,1956735,
Yalbac506G,506,G,,,283,Crested Guan,1,2015,12,3,13.26,13.5,,Bushnell,506G,292534,1956194,
Yalbac507F,507,F,,,342,Deppe's Squirrel,1,2015,11,4,6.47,6.5,feeding,Bushnell,507F,283119,1935211,
Yalbac505G,505,G,,,232,Gray Fox,1,2016,1,3,10.57,11,,Moultrie,505G,291021,1956145,
Yalbac507H,507,H,,,266,Gray Fox,1,2016,1,3,2.24,2.5,Time off,Bushnell,507H,283483,1934993.94,
Yalbac511H,511,H,,,181,Gray Fox,1,2016,1,5,19.02,19,,Moultrie,511H,282087,1935456.716,
Yalbac505G,505,G,,,244,Gray Fox,1,2016,1,6,16.52,17,,Moultrie,505G,291021,1956145,
Yalbac505G,505,G,,,256,Gray Fox,1,2016,1,8,5.28,5.5,,Moultrie,505G,291021,1956145,
Yalbac505G,505,G,,,265,Gray Fox,1,2016,1,9,2.17,2.5,,Moultrie,505G,291021,1956145,
Yalbac507H,507,H,,,340,Gray Fox,1,2016,1,9,4.13,4,Time off,Bushnell,507H,283483,1934993.94,
Yalbac509H,509,H,,,346,Gray Fox,1,2016,1,11,11.29,11.5,,Bushnell,509H,283730,1935382.07,
Yalbac507H,507,H,,,358,Gray Fox,1,2016,1,12,10.05,10,Time off,Bushnell,507H,283483,1934993.94,
Yalbac507H,507,H,,,361,Gray Fox,1,2016,1,12,13.24,13.5,Time off,Bushnell,507H,283483,1934993.94,
Yalbac507H,507,H,,,442,Gray Fox,1,2016,1,18,15.39,15.5,Time off,Bushnell,507H,283483,1934993.94,
Yalbac507H,507,H,,,451,Gray Fox,1,2016,1,18,8.06,8,Time off,Bushnell,507H,283483,1934993.94,
Yalbac507H,507,H,,,586,Gray Fox,1,2016,1,25,1.33,1.5,Time off,Bushnell,507H,283483,1934993.94,
Yalbac507H,507,H,,,616,Gray Fox,1,2016,1,25,23.49,24,Time off,Bushnell,507H,283483,1934993.94,
Yalbac507H,507,H,,,691,Gray Fox,1,2016,1,31,10.13,10,Time off,Bushnell,507H,283483,1934993.94,
Yalbac507H,507,H,,,697,Gray Fox,1,2016,2,1,8.46,9,Time off,Bushnell,507H,283483,1934993.94,
Yalbac507H,507,H,,,700,Gray Fox,1,2016,2,1,13.07,13,Time off,Bushnell,507H,283483,1934993.94,
Yalbac507H,507,H,,,742,Gray Fox,1,2016,2,6,7.44,7.5,Time off,Bushnell,507H,283483,1934993.94,
Yalbac510H,510,H,,,768,Gray Fox,1,2016,2,7,13.24,13.5,,Moultrie,510H,282719,1935522.766,
Yalbac507H,507,H,,,784,Gray Fox,1,2016,2,10,12.46,13,Time off,Bushnell,507H,283483,1934993.94,
Yalbac507H,507,H,,,807,Gray Fox,1,2016,2,10,15.36,5.5,Time off,Bushnell,507H,283483,1934993.94,
Yalbac509H,509,H,,,2323,Gray Fox,1,2016,2,11,11.52,12,,Bushnell,509H,283730,1935382.07,
Yalbac507H,507,H,,,844,Gray Fox,1,2016,2,12,21.29,21.5,Time off,Bushnell,507H,283483,1934993.94,
Yalbac507H,507,H,,,889,Gray Fox,1,2016,2,16,2.27,2.5,Time off,Bushnell,507H,283483,1934993.94,
Yalbac507H,507,H,,,904,Gray Fox,1,2016,2,17,0.39,0.5,Time off,Bushnell,507H,283483,1934993.94,
Yalbac507H,507,H,,,907,Gray Fox,1,2016,2,17,9.49,10,Time off,Bushnell,507H,283483,1934993.94,
Yalbac507H,507,H,,,934,Gray Fox,1,2016,2,20,3.4,3.5,Time off,Bushnell,507H,283483,1934993.94,
Yalbac507H,507,H,,,976,Gray Fox,1,2016,2,22,18.37,18.5,Time off,Bushnell,507H,283483,1934993.94,
Yalbac507H,507,H,,,979,Gray Fox,1,2016,2,22,20.2,20.5,Time off,Bushnell,507H,283483,1934993.94,
Yalbac507H,507,H,,,994,Gray Fox,2,2016,2,23,9.35,9.5,Time off,Bushnell,507H,283483,1934993.94,
Yalbac507H,507,H,,,1010,Gray Fox,1,2016,2,24,12.59,13,Time off,Bushnell,507H,283483,1934993.94,
Yalbac507H,507,H,,,1013,Gray Fox,1,2016,2,24,16.28,16.5,Time off,Bushnell,507H,283483,1934993.94,
Yalbac507H,507,H,,,1043,Gray Fox,1,2016,2,25,8.54,9,Time off,Bushnell,507H,283483,1934993.94,
Yalbac507H,507,H,,,1049,Gray Fox,1,2016,2,25,9.5,10,Time off,Bushnell,507H,283483,1934993.94,
Yalbac507H,507,H,,,1052,Gray Fox,1,2016,2,25,20.06,20,Time off,Bushnell,507H,283483,1934993.94,
Yalbac507c,507,C,,,31,Gray Fox,1,2015,4,10,23.46,24,,Bushnell,507 C,283656,1935412,
Yalbac509c,509,C,,,31,Gray Fox,1,2015,4,11,2.56,3,,Bushnell,509 C,280114,1935198,
Yalbac512c,512,C,,,497,Gray Fox,1,2015,4,11,3.46,4,,Scoutguard,512 C,281740,1935290,
Yalbac512c,512,C,,,497,Gray Fox,1,2015,4,11,3.46,4,,ScoutGuard,512 C,281740,1935290,
Yalbac512c,512,C,,,2163,Gray Fox,1,2015,4,13,19.4,20,,Scoutguard,512 C,281740,1935290,
Yalbac512c,512,C,,,2163,Gray Fox,1,2015,4,13,19.4,20,,ScoutGuard,512 C,281740,1935290,
