Location,Camera,Easting,Northing,Cam nr,series,picture,species name,Nr,Year,Month ,Day,Hour Exact,Comment,camera brand,,Location,Logging,,
,814G,287795,1943100,814,g,696,Agouti,1,,12,24,10.00,,bushnell,814G,Laguna Seca,no,,
,812A,286543,1935392,812,a,112,Baird's Tapir,1,,1,14,3.52,,bushnell,812A,Laguna Seca,no,,
,812A,286543,1935392,812,a,256,Baird's Tapir,1,,1,30,19.14,,bushnell,812A,Laguna Seca,no,,
,812A,286543,1935392,812,a,263,Baird's Tapir,1,,1,31,21.55,,bushnell,812A,Laguna Seca,no,,
,812A,286543,1935392,812,a,352,Baird's Tapir,1,,2,9,23.50,,bushnell,812A,Laguna Seca,no,,
,812A,286543,1935392,812,a,358,Baird's Tapir,1,,2,10,20.34,,bushnell,812A,Laguna Seca,no,,
,812A,286543,1935392,812,a,442,Baird's Tapir,1,,2,18,20.21,,bushnell,812A,Laguna Seca,no,,
,812A,286543,1935392,812,a,490,Baird's Tapir,1,,2,25,4.50,,bushnell,812A,Laguna Seca,no,,
,803A,289440,1956750,803,a,524,Baird's Tapir,1,,2,1,5.23,,bushnell,803A,Yalbac,no,,
,812A,286543,1935392,812,a,526,Baird's Tapir,1,,3,1,4.38,,bushnell,812A,Laguna Seca,no,,
,803A,289440,1956750,803,a,971,Baird's Tapir,1,,2,27,22.41,,bushnell,803A,Yalbac,no,,
,812B,286540,1935398,812,b,13,Baird's Tapir,1,,3,6,22.45,,bushnell,812B,Laguna Seca,no,,
,803B,289436,1956746,803,b,32,Baird's Tapir,1,,3,8,6.44,,bushnell,803B,Yalbac,no,,
,812B,286540,1935398,812,b,52,Baird's Tapir,1,,3,10,21.27,,bushnell,812B,Laguna Seca,no,,
,810B,286075,1935996,810,b,85,Baird's Tapir,1,,3,6,23.21,,bushnell,810A,Laguna Seca,no,,
,812B,286540,1935398,812,b,97,Baird's Tapir,1,,3,15,21.58,,bushnell,812B,Laguna Seca,no,,
