Name,mean_ARVI,sd_ARVI,mean_NDVI,sd_NDVI,mean_PRI,sd_PRI,mean_RGRI,sd_RGRI,mean_SIPI,sd_SIPI,mean_SR,sd_SR,mean_ARVI100,sd_ARVI100,mean_NDVI100,sd_NDVI100,mean_PRI100,sd_PRI100,mean_RGRI100,sd_RGRI100,mean_SIPI100,sd_SIPI100,mean_SR100,sd_SR100
407C,0.928187215,0.006521404,0.928932157,0.003028122,0.011418741,0.01154472,0.903148465,0.018815649,1.000426699,0.002862696,27.1937142,1.212219158,0.92698392866,0.00927807587,0.92730478746,0.00373973254,0.01905155633,0.01629244196,0.90789636110,0.02446047494,1.00020364964,0.00402186141,26.58623043700,1.44543515922
407C2,0.919897133,0.011411863,0.925260965,0.004748706,0.027081208,0.024105479,0.920350372,0.040931317,1.003056232,0.004945807,25.86221994,1.629520292,0.91671242958,0.01171368243,0.92433603946,0.00479949899,0.02446111371,0.02258239712,0.91575651353,0.03395302550,1.00434209609,0.00514822059,25.53937278670,1.69407220747
407D,0.919897133,0.011411863,0.925260965,0.004748706,0.027081208,0.024105479,0.920350372,0.040931317,1.003056232,0.004945807,25.86221994,1.629520292,0.91671242958,0.01171368243,0.92433603946,0.00479949899,0.02446111371,0.02258239712,0.91575651353,0.03395302550,1.00434209609,0.00514822059,25.53937278670,1.69407220747
407E,0.924404595,0.012123555,0.927108653,0.004647094,0.019186619,0.019401513,0.895386943,0.02876857,1.001560287,0.004819091,26.5548756,1.838356439,0.92246989449,0.01167181301,0.92727994400,0.00450192117,0.02226621053,0.02178963074,0.89634345080,0.03200982444,1.00273814580,0.00495829529,26.61280073720,1.78801664508
407F,0.932571693,0.018448082,0.933432073,0.008018128,0.033255343,0.049163149,0.966407105,0.067310684,1.000569354,0.007576694,29.45179412,4.049464887,0.92576530671,0.01632003893,0.93033610030,0.00744096412,0.02069456111,0.03448823177,0.93566358734,0.06039790109,1.00259732669,0.00707719526,28.03480356740,3.33248067348
408B,0.919853167,0.009875579,0.926845075,0.004787023,0.017601901,0.018226707,0.901727299,0.028725809,1.003953743,0.004377485,26.4566289,1.801244676,0.92143112035,0.01103272478,0.92662048705,0.00488935675,0.02370540130,0.02135104664,0.90255466296,0.03192099279,1.00294796834,0.00466055930,26.38024232320,1.88670359271
408C,0.919407364,0.012825751,0.924353467,0.004541783,0.028810337,0.020597477,0.916413682,0.03230264,1.002838023,0.005515098,25.53736274,1.647688132,0.91868963968,0.01154191981,0.92495722588,0.00465723238,0.02532928235,0.02160780823,0.91577175006,0.03465869409,1.00356980931,0.00501452313,25.75784846230,1.72425417597
408C2,0.922747741,0.012733195,0.920523153,0.003708355,0.025957278,0.016821793,0.910512676,0.030091562,0.9987909,0.006312746,24.22066965,1.207280264,0.92034782003,0.01148280626,0.91886914610,0.00427558619,0.02562614447,0.01887733159,0.91635844224,0.02838858338,0.99919857815,0.00549785208,23.71921338560,1.29081901688
408D,0.922747741,0.012733195,0.920523153,0.003708355,0.025957278,0.016821793,0.910512676,0.030091562,0.9987909,0.006312746,24.22066965,1.207280264,0.92034782003,0.01148280626,0.91886914610,0.00427558619,0.02562614447,0.01887733159,0.91635844224,0.02838858338,0.99919857815,0.00549785208,23.71921338560,1.29081901688
408E,0.883645474,0.061361128,0.893818479,0.040555681,0.001185998,0.022272178,0.966386038,0.075892042,1.007160412,0.016109603,19.69894449,5.063209041,0.90784203802,0.04376499576,0.91239865587,0.02949694542,0.01686146325,0.02156750409,0.93301828670,0.05839477487,1.00317715159,0.01175452130,23.05795443310,3.92937625988
