"Name","Logging.x","Property.x","Easting.x","Northing.x","Lat.x","Long.x","Cam.nr","series","picture","species.name","Species","Type","Nr","Year","Month","Day","Hour.Exact","Comment","Mammal","Logging.y","Property.y","Brand","Date.Placement","Date.Removed","Last.record","Days","Easting.y","Northing.y","Lat.y","Long.y","obsdate","visit","date_time_obs"
"02G","Yes","Yalbac",284926,1938068,17.518568,-89.02586,2,"G",185,"Great Curassow","Crax rubra","Bird",3,2020,9,24,6.1,"","No","Yes","Yalbac","Bushnel",2020-09-19,2020-10-24,2020-10-24,35,284926,1938068,17.518568,-89.02586,2020-09-24,6,"2020-09-24 6.10"
"03B","Yes","Yalbac",284474,1939228,17.529006,-89.030226,3,"B",25,"Great Curassow","Crax rubra","Bird",3,2020,3,15,6.01,"","No","Yes","Yalbac","Bushnel",2020-03-14,2020-05-09,2020-05-07,51,284474,1939228,17.529006,-89.030226,2020-03-15,2,"2020-03-15 6.01"
"03D","Yes","Yalbac",284201,1939112,17.52793,-89.032787,3,"D",15,"Ocellated Turkey","Meleagris ocellata","Bird",3,2020,6,15,9.33,"","No","Yes","Yalbac","Bushnel",2020-06-13,2020-07-18,2020-07-18,36,284201,1939112,17.52793,-89.032787,2020-06-15,3,"2020-06-15 9.33"
"03E","Yes","Yalbac",284206,1939118,17.527981,-89.032738,3,"E",211,"Great Curassow","Crax rubra","Bird",3,2020,8,12,6.48,"","No","Yes","Yalbac","Bushnel",2020-07-18,2020-08-22,2020-08-22,35,284206,1939118,17.527981,-89.032738,2020-08-12,26,"2020-08-12 6.48"
"03G","Yes","Yalbac",284578,1939508,17.531539,-89.029275,3,"G",178,"Ocellated Turkey","Meleagris ocellata","Bird",3,2020,10,1,9.32,"","No","Yes","Yalbac","Bushnel",2020-09-19,2020-10-24,2020-10-24,35,284578,1939508,17.531539,-89.029275,2020-10-01,13,"2020-10-01 9.32"
"06C","Yes","Yalbac",286216,1936445,17.504029,-89.013555,6,"C",354,"Ocellated Turkey","Meleagris ocellata","Bird",3,2020,5,17,5.43,"","No","Yes","Yalbac","Bushnel",2020-05-09,2020-06-13,2020-06-13,35,286216,1936445,17.504029,-89.013555,2020-05-17,9,"2020-05-17 5.43"
"06C","Yes","Yalbac",286216,1936445,17.504029,-89.013555,6,"C",364,"Ocellated Turkey","Meleagris ocellata","Bird",3,2020,5,17,17.46,"","No","Yes","Yalbac","Bushnel",2020-05-09,2020-06-13,2020-06-13,35,286216,1936445,17.504029,-89.013555,2020-05-17,9,"2020-05-17 17.46"
"06C","Yes","Yalbac",286216,1936445,17.504029,-89.013555,6,"C",544,"Ocellated Turkey","Meleagris ocellata","Bird",3,2020,5,21,17.13,"","No","Yes","Yalbac","Bushnel",2020-05-09,2020-06-13,2020-06-13,35,286216,1936445,17.504029,-89.013555,2020-05-21,13,"2020-05-21 17.13"
"02H","Yes","Yalbac",284930,1938067,17.518558,-89.02582,2,"H",61,"White-nosed Coati","Nasua narica","Mammal",3,2020,9,17,17.37,"","Yes","Yes","Yalbac","Bushnel",2020-09-10,2020-11-28,2020-11-28,35,284930,1938067,17.518558,-89.02582,2020-09-17,8,"2020-09-17 17.37"
"01D","Yes","Yalbac",284079,1939085,17.527673,-89.033933,1,"D",40,"Great Curassow","Crax rubra","Bird",2,2020,6,15,13.28,"with chick","No","Yes","Yalbac","Bushnel",2020-06-13,2020-07-18,2020-07-18,36,284079,1939085,17.527673,-89.033933,2020-06-15,3,"2020-06-15 13.28"
"03E","Yes","Yalbac",284206,1939118,17.527981,-89.032738,3,"E",34,"Great Curassow","Crax rubra","Bird",2,2020,7,21,16.39,"with chick","No","Yes","Yalbac","Bushnel",2020-07-18,2020-08-22,2020-08-22,35,284206,1939118,17.527981,-89.032738,2020-07-21,4,"2020-07-21 16.39"
"03E","Yes","Yalbac",284206,1939118,17.527981,-89.032738,3,"E",151,"Great Curassow","Crax rubra","Bird",2,2020,8,5,5.35,"with chick","No","Yes","Yalbac","Bushnel",2020-07-18,2020-08-22,2020-08-22,35,284206,1939118,17.527981,-89.032738,2020-08-05,19,"2020-08-05 5.35"
"02F","Yes","Laguna Seca",284986,1938087,17.518743,-89.025299,2,"F",52,"Blue Ground Dove","Claravis pretiosa","Bird",2,2020,8,30,16.38,"","No","Yes","Laguna Seca","Bushnel",2020-08-22,2020-09-19,2020-09-19,28,284986,1938087,17.518743,-89.025299,2020-08-30,9,"2020-08-30 16.38"
"02F","Yes","Laguna Seca",284986,1938087,17.518743,-89.025299,2,"F",55,"Blue Ground Dove","Claravis pretiosa","Bird",2,2020,8,30,16.38,"","No","Yes","Laguna Seca","Bushnel",2020-08-22,2020-09-19,2020-09-19,28,284986,1938087,17.518743,-89.025299,2020-08-30,9,"2020-08-30 16.38"
"02F","Yes","Laguna Seca",284986,1938087,17.518743,-89.025299,2,"F",791,"Great Curassow","Crax rubra","Bird",2,2020,9,8,12.5,"","No","Yes","Laguna Seca","Bushnel",2020-08-22,2020-09-19,2020-09-19,28,284986,1938087,17.518743,-89.025299,2020-09-08,18,"2020-09-08 12.50"
"02F","Yes","Laguna Seca",284986,1938087,17.518743,-89.025299,2,"F",815,"Great Curassow","Crax rubra","Bird",2,2020,9,9,5.13,"","No","Yes","Laguna Seca","Bushnel",2020-08-22,2020-09-19,2020-09-19,28,284986,1938087,17.518743,-89.025299,2020-09-09,19,"2020-09-09 5.13"
"04B","Yes","Laguna Seca",287639,1949425,17.621422,-89.001446,4,"B",13,"Great Curassow","Crax rubra","Bird",2,2020,3,15,7.33,"","No","Yes","Laguna Seca","Bushnel",2020-03-14,2020-05-22,2020-05-22,69,287639,1949425,17.621422,-89.001446,2020-03-15,2,"2020-03-15 7.33"
"04B","Yes","Laguna Seca",287639,1949425,17.621422,-89.001446,4,"B",109,"Great Curassow","Crax rubra","Bird",2,2020,3,31,6.08,"","No","Yes","Laguna Seca","Bushnel",2020-03-14,2020-05-22,2020-05-22,69,287639,1949425,17.621422,-89.001446,2020-03-31,18,"2020-03-31 6.08"
"04B","Yes","Laguna Seca",287639,1949425,17.621422,-89.001446,4,"B",185,"Great Curassow","Crax rubra","Bird",2,2020,4,11,16.24,"","No","Yes","Laguna Seca","Bushnel",2020-03-14,2020-05-22,2020-05-22,69,287639,1949425,17.621422,-89.001446,2020-04-11,29,"2020-04-11 16.24"
"04B","Yes","Laguna Seca",287639,1949425,17.621422,-89.001446,4,"B",257,"Great Curassow","Crax rubra","Bird",2,2020,4,22,6.16,"","No","Yes","Laguna Seca","Bushnel",2020-03-14,2020-05-22,2020-05-22,69,287639,1949425,17.621422,-89.001446,2020-04-22,40,"2020-04-22 6.16"
"04B","Yes","Laguna Seca",287639,1949425,17.621422,-89.001446,4,"B",345,"Ocellated Turkey","Meleagris ocellata","Bird",2,2020,5,2,11.32,"","No","Yes","Laguna Seca","Bushnel",2020-03-14,2020-05-22,2020-05-22,69,287639,1949425,17.621422,-89.001446,2020-05-02,50,"2020-05-02 11.32"
"11C","Yes","Laguna Seca",290853,1951848,17.64361,-88.971406,11,"C",268,"Ocellated Turkey","Meleagris ocellata","Bird",2,2020,6,13,5.36,"","No","Yes","Laguna Seca","Bushnel",2020-05-22,2020-06-27,2020-06-27,36,290853,1951848,17.64361,-88.971406,2020-06-13,23,"2020-06-13 5.36"
"11C","Yes","Laguna Seca",290853,1951848,17.64361,-88.971406,11,"C",301,"Ocellated Turkey","Meleagris ocellata","Bird",2,2020,6,20,12.38,"","No","Yes","Laguna Seca","Bushnel",2020-05-22,2020-06-27,2020-06-27,36,290853,1951848,17.64361,-88.971406,2020-06-20,30,"2020-06-20 12.38"
"11C","Yes","Laguna Seca",290853,1951848,17.64361,-88.971406,11,"C",310,"Ocellated Turkey","Meleagris ocellata","Bird",2,2020,6,20,16.18,"","No","Yes","Laguna Seca","Bushnel",2020-05-22,2020-06-27,2020-06-27,36,290853,1951848,17.64361,-88.971406,2020-06-20,30,"2020-06-20 16.18"
