"site","Camera","picture","species.name","Nr","Year","Month","Day","Hour.Exact","Comment","camera.brand","Location.1","Logging","Mammal","Easting.y","Northing.y","Site","Active_Log","obsdate","First_Obs","Last.Record_clean","Days","date_time_obs"
"807B","807B",393,"Agouti",1,2018,3,22,14.51,"","bushnell","Yalbac","no","Yes",291485,1956145,"Yalbac","no",2018-03-22,2018-03-05,2018-04-20,46,"2018-03-22 14.51"
"812B","812B",418,"Agouti",1,2018,4,17,7.03,"","bushnell","Laguna Seca","no","Yes",286540,1935398,"Laguna Seca","no",2018-04-17,2018-03-05,2018-04-20,46,"2018-04-17 7.03"
"803B","803B",521,"Agouti",1,2018,4,11,9.53,"","bushnell","Yalbac","no","Yes",289436,1956746,"Yalbac","no",2018-04-11,2018-03-05,2018-04-20,46,"2018-04-11 9.53"
"807B","807B",609,"Agouti",1,2018,4,3,9.47,"","bushnell","Yalbac","no","Yes",291485,1956145,"Yalbac","no",2018-04-03,2018-03-05,2018-04-20,46,"2018-04-03 9.47"
"803B","803B",620,"Agouti",1,2018,4,15,13.08,"","bushnell","Yalbac","no","Yes",289436,1956746,"Yalbac","no",2018-04-15,2018-03-05,2018-04-20,46,"2018-04-15 13.08"
"803B","803B",626,"Agouti",1,2018,4,16,14.12,"","bushnell","Yalbac","no","Yes",289436,1956746,"Yalbac","no",2018-04-16,2018-03-05,2018-04-20,46,"2018-04-16 14.12"
"807B","807B",629,"Agouti",1,2018,4,5,8.52,"","bushnell","Yalbac","no","Yes",291485,1956145,"Yalbac","no",2018-04-05,2018-03-05,2018-04-20,46,"2018-04-05 8.52"
"803B","803B",635,"Agouti",1,2018,4,19,11.54,"","bushnell","Yalbac","no","Yes",289436,1956746,"Yalbac","no",2018-04-19,2018-03-05,2018-04-20,46,"2018-04-19 11.54"
"807B","807B",677,"Agouti",1,2018,4,7,16.44,"","bushnell","Yalbac","no","Yes",291485,1956145,"Yalbac","no",2018-04-07,2018-03-05,2018-04-20,46,"2018-04-07 16.44"
"807B","807B",685,"Agouti",1,2018,4,11,15.12,"","bushnell","Yalbac","no","Yes",291485,1956145,"Yalbac","no",2018-04-11,2018-03-05,2018-04-20,46,"2018-04-11 15.12"
"807B","807B",706,"Agouti",1,2018,4,14,7.15,"","bushnell","Yalbac","no","Yes",291485,1956145,"Yalbac","no",2018-04-14,2018-03-05,2018-04-20,46,"2018-04-14 7.15"
"807B","807B",747,"Agouti",1,2018,4,15,6.11,"","bushnell","Yalbac","no","Yes",291485,1956145,"Yalbac","no",2018-04-15,2018-03-05,2018-04-20,46,"2018-04-15 6.11"
"807B","807B",774,"Agouti",2,2018,4,15,6.55,"","bushnell","Yalbac","no","Yes",291485,1956145,"Yalbac","no",2018-04-15,2018-03-05,2018-04-20,46,"2018-04-15 6.55"
"807B","807B",813,"Agouti",1,2018,4,15,8.03,"","bushnell","Yalbac","no","Yes",291485,1956145,"Yalbac","no",2018-04-15,2018-03-05,2018-04-20,46,"2018-04-15 8.03"
"807B","807B",821,"Agouti",1,2018,4,15,15.34,"","bushnell","Yalbac","no","Yes",291485,1956145,"Yalbac","no",2018-04-15,2018-03-05,2018-04-20,46,"2018-04-15 15.34"
"804C","804C",5,"Agouti",2,2018,4,22,6.24,"","bushnell","Yalbac","no","Yes",288918,1956756,"Yalbac","no",2018-04-22,2018-04-20,2018-05-22,33,"2018-04-22 6.24"
"804C","804C",15,"Agouti",1,2018,4,24,5.58,"","bushnell","Yalbac","no","Yes",288918,1956756,"Yalbac","no",2018-04-24,2018-04-20,2018-05-22,33,"2018-04-24 5.58"
"804C","804C",21,"Agouti",1,2018,4,27,6.16,"","bushnell","Yalbac","no","Yes",288918,1956756,"Yalbac","no",2018-04-27,2018-04-20,2018-05-22,33,"2018-04-27 6.16"
"804C","804C",33,"Agouti",1,2018,4,29,7.1,"","bushnell","Yalbac","no","Yes",288918,1956756,"Yalbac","no",2018-04-29,2018-04-20,2018-05-22,33,"2018-04-29 7.10"
"804C","804C",101,"Agouti",1,2018,5,11,7.29,"","bushnell","Yalbac","no","Yes",288918,1956756,"Yalbac","no",2018-05-11,2018-04-20,2018-05-22,33,"2018-05-11 7.29"
"804C","804C",129,"Agouti",1,2018,5,21,5.4,"","bushnell","Yalbac","no","Yes",288918,1956756,"Yalbac","no",2018-05-21,2018-04-20,2018-05-22,33,"2018-05-21 5.40"
"810C","810C",238,"Agouti",1,2018,5,7,16.16,"","bushnell","Laguna Seca","no","Yes",286074,1935990,"Laguna Seca","no",2018-05-07,2018-04-20,2018-05-22,33,"2018-05-07 16.16"
"803D","803D",101,"Agouti",1,2018,5,25,5.28,"","bushnell","Yalbac","no","Yes",293723,1956073,"Yalbac","no",2018-05-25,2018-05-22,2018-06-27,36,"2018-05-25 5.28"
