"site","Location","Cam.nr","Series","Picture","Species","Nr","Year","Month","Day","Hour_exact","Hour_BERDS","Comment","Camera.Brand","Easting.1","Northing.1","Mammal","Brand","Date_Place","Date_Remov","obsdate","Last.Record","Days","visit","Notes","Conservati","Active_Log","Logged_in","Hurricane","Fire_Damag","Location_d","Landscape","date_time_obs","First_Obs"
"504D","Yalbac504D",504,"D",70,"Agouti",1,2015,6,28,6.3,6.5,"","Scoutguard",291590,1956114,"Yes","Scoutguard",2015-05-30,2015-06-29,2015-06-28,2015-08-06,67,30," ","No","Yes",NA,"No","No","Along wide logging road","Mature forest","2015-06-28 6.30",2015-05-30
"502D","Yalbac502D",502,"D",3375,"Agouti",1,2015,7,5,15.17,15.5,"","Moultrie",291686,1955608,"Yes","Moultrycam",2015-05-30,2015-06-29,2015-07-05,2015-08-06,67,37," ","No","Yes",NA,"No","No","Along wide logging road","Mature forest","2015-07-05 15.17",2015-05-30
"503D","Yalbac503D",503,"D",613,"Agouti",1,2015,7,13,9.3,9.5,"","Bushnell",292559,1958254,"Yes","Bushnell",2015-05-30,2015-06-29,2015-07-13,2015-08-06,67,45," ","No","Yes",NA,"No","No","Along wide logging road","Mature forest","2015-07-13 9.30",2015-05-30
"501D","Yalbac501D",501,"D",136,"Agouti",1,2015,7,14,7.14,7,"","Bushnell",292588,1957992,"Yes","Bushnell",2015-05-30,2015-06-29,2015-07-14,2015-08-06,67,46," ","No","Yes",NA,"No","No","Along wide logging road","Mature forest","2015-07-14 7.14",2015-05-30
"501D","Yalbac501D",501,"D",145,"Agouti",1,2015,7,17,18.3,18.5,"","Bushnell",292588,1957992,"Yes","Bushnell",2015-05-30,2015-06-29,2015-07-17,2015-08-06,67,49," ","No","Yes",NA,"No","No","Along wide logging road","Mature forest","2015-07-17 18.30",2015-05-30
"507E","Yalbac507E",507,"E",40,"Agouti",2,2015,8,1,7.56,8,"","Bushnell",283482,1934992,"Yes","Bushnell",2015-06-29,2015-09-15,2015-08-01,2015-09-16,78,34," ","No","Yes","2015","Yes","No","Along wide logging road","Disturbed High forest","2015-08-01 7.56",2015-06-29
"510E","Yalbac510E",510,"E",38,"Agouti",1,2015,8,4,7.59,8,"","Moultrie",281670,1934730,"Yes","Moultrycam",2015-06-29,2015-09-15,2015-08-04,2015-09-16,78,37," ","No","Yes","2015","Yes","No","Along wide logging road","Disturbed High forest","2015-08-04 7.59",2015-06-29
"504E","Yalbac504E",504,"E",198,"Agouti",1,2015,8,5,17.27,17.5,"","Scoutguard",290567,1955971,"Yes","Scoutguard",2015-06-29,2015-09-15,2015-08-05,2015-09-16,78,38," ","No","Yes",NA,"No","No","Along wide logging road","Mature forest","2015-08-05 17.27",2015-06-29
"506E","Yalbac506E",506,"E",60,"Agouti",1,2015,8,5,6.29,6.5,"","Bushnell",292491,1955895,"Yes","Bushnell",2015-06-29,2015-09-15,2015-08-05,2015-09-16,78,38," ","No","Yes",NA,"No","No","Along wide logging road","Mature forest","2015-08-05 6.29",2015-06-29
"504E","Yalbac504E",504,"E",210,"Agouti",1,2015,8,6,9.14,9,"","Scoutguard",290567,1955971,"Yes","Scoutguard",2015-06-29,2015-09-15,2015-08-06,2015-09-16,78,39," ","No","Yes",NA,"No","No","Along wide logging road","Mature forest","2015-08-06 9.14",2015-06-29
"504E","Yalbac504E",504,"E",242,"Agouti",1,2015,8,9,6.21,6.5,"","Scoutguard",290567,1955971,"Yes","Scoutguard",2015-06-29,2015-09-15,2015-08-09,2015-09-16,78,42," ","No","Yes",NA,"No","No","Along wide logging road","Mature forest","2015-08-09 6.21",2015-06-29
"504E","Yalbac504E",504,"E",280,"Agouti",1,2015,8,10,7.43,7.5,"","Scoutguard",290567,1955971,"Yes","Scoutguard",2015-06-29,2015-09-15,2015-08-10,2015-09-16,78,43," ","No","Yes",NA,"No","No","Along wide logging road","Mature forest","2015-08-10 7.43",2015-06-29
"506E","Yalbac506E",506,"E",79,"Agouti",1,2015,8,11,9.12,9,"","Bushnell",292491,1955895,"Yes","Bushnell",2015-06-29,2015-09-15,2015-08-11,2015-09-16,78,44," ","No","Yes",NA,"No","No","Along wide logging road","Mature forest","2015-08-11 9.12",2015-06-29
"504E","Yalbac504E",504,"E",313,"Agouti",1,2015,8,13,6.2,6.5,"","Scoutguard",290567,1955971,"Yes","Scoutguard",2015-06-29,2015-09-15,2015-08-13,2015-09-16,78,46," ","No","Yes",NA,"No","No","Along wide logging road","Mature forest","2015-08-13 6.20",2015-06-29
"504E","Yalbac504E",504,"E",321,"Agouti",1,2015,8,13,7.57,8,"","Scoutguard",290567,1955971,"Yes","Scoutguard",2015-06-29,2015-09-15,2015-08-13,2015-09-16,78,46," ","No","Yes",NA,"No","No","Along wide logging road","Mature forest","2015-08-13 7.57",2015-06-29
"502E","Yalbac502E",502,"E",3466,"Agouti",1,2015,8,15,17.26,17.5,"","Moultrie",290847,1955799,"Yes","Moultrycam",2015-06-29,2015-09-15,2015-08-15,2015-09-16,78,48," ","No","Yes",NA,"No","No","Along wide logging road","Mature forest","2015-08-15 17.26",2015-06-29
"506E","Yalbac506E",506,"E",110,"Agouti",1,2015,8,15,18.31,18.5,"","Bushnell",292491,1955895,"Yes","Bushnell",2015-06-29,2015-09-15,2015-08-15,2015-09-16,78,48," ","No","Yes",NA,"No","No","Along wide logging road","Mature forest","2015-08-15 18.31",2015-06-29
"506E","Yalbac506E",506,"E",136,"Agouti",1,2015,8,19,6.49,6.5,"","Bushnell",292491,1955895,"Yes","Bushnell",2015-06-29,2015-09-15,2015-08-19,2015-09-16,78,52," ","No","Yes",NA,"No","No","Along wide logging road","Mature forest","2015-08-19 6.49",2015-06-29
"507E","Yalbac507E",507,"E",338,"Agouti",1,2015,8,24,7.56,8,"","Bushnell",283482,1934992,"Yes","Bushnell",2015-06-29,2015-09-15,2015-08-24,2015-09-16,78,57," ","No","Yes","2015","Yes","No","Along wide logging road","Disturbed High forest","2015-08-24 7.56",2015-06-29
"506E","Yalbac506E",506,"E",238,"Agouti",1,2015,8,30,7.26,7.5,"","Bushnell",292491,1955895,"Yes","Bushnell",2015-06-29,2015-09-15,2015-08-30,2015-09-16,78,63," ","No","Yes",NA,"No","No","Along wide logging road","Mature forest","2015-08-30 7.26",2015-06-29
"504E","Yalbac504E",504,"E",805,"Agouti",1,2015,9,12,7.12,7,"","Scoutguard",290567,1955971,"Yes","Scoutguard",2015-06-29,2015-09-15,2015-09-12,2015-09-16,78,76," ","No","Yes",NA,"No","No","Along wide logging road","Mature forest","2015-09-12 7.12",2015-06-29
"506E","Yalbac506E",506,"E",346,"Agouti",1,2015,9,15,10.02,10,"","Bushnell",292491,1955895,"Yes","Bushnell",2015-06-29,2015-09-15,2015-09-15,2015-09-16,78,79," ","No","Yes",NA,"No","No","Along wide logging road","Mature forest","2015-09-15 10.02",2015-06-29
"512F","Yalbac512F",512,"F",8,"Agouti",1,2015,9,16,15.44,15.5,"","ScoutGuard",281718,1935445,"Yes","Scoutguard",2015-09-15,2015-11-09,2015-09-16,2015-11-10,55,2," ","No","Yes","2015","Yes","No","Along wide logging road","Disturbed High forest","2015-09-16 15.44",2015-09-15
