"picture","species.name","Nr","Year","Month","Day","Hour.Exact","Comment","Location.1","Mammal","site","Brand","Date.Placement","Date.Removed","Days","Northing","Easting","Conservati","Active_Log","Logged_in","Hurricane","Fire_Damag","Location_d","Landscape","Location.y","Last.Record","obsdate","visit","date_time_obs"
115,"Great Curassow",1,2016,7,29,"8.17","","Laguna Seca","No","601J","Bushnell",2016-07-05,2016-09-08,61,1955892.942,292495.3321,"No","No",2015,"No","No","Along large logging road","Mature Forest","Laguna Seca",2016-09-05,2016-07-29,25,"2016-07-29 8.17"
244,"Great Curassow",1,2016,8,24,"6.33","","Laguna Seca","No","601J","Bushnell",2016-07-05,2016-09-08,61,1955892.942,292495.3321,"No","No",2015,"No","No","Along large logging road","Mature Forest","Laguna Seca",2016-09-05,2016-08-24,51,"2016-08-24 6.33"
121,"Margay",1,2016,7,30,"22.22","","Laguna Seca","Yes","601J","Bushnell",2016-07-05,2016-09-08,61,1955892.942,292495.3321,"No","No",2015,"No","No","Along large logging road","Mature Forest","Laguna Seca",2016-09-05,2016-07-30,26,"2016-07-30 22.22"
97,"Ocellated Turkey",2,2016,7,28,"12.45","","Laguna Seca","No","601J","Bushnell",2016-07-05,2016-09-08,61,1955892.942,292495.3321,"No","No",2015,"No","No","Along large logging road","Mature Forest","Laguna Seca",2016-09-05,2016-07-28,24,"2016-07-28 12.45"
275,"Ocelot",1,2016,9,5,"0.47","","Laguna Seca","Yes","601J","Bushnell",2016-07-05,2016-09-08,61,1955892.942,292495.3321,"No","No",2015,"No","No","Along large logging road","Mature Forest","Laguna Seca",2016-09-05,2016-09-05,63,"2016-09-05 0.47"
10,"Paca",1,2016,7,7,"3.3","","Laguna Seca","Yes","601J","Bushnell",2016-07-05,2016-09-08,61,1955892.942,292495.3321,"No","No",2015,"No","No","Along large logging road","Mature Forest","Laguna Seca",2016-09-05,2016-07-07,3,"2016-07-07 3.30"
19,"Paca",1,2016,7,9,"21.22","","Laguna Seca","Yes","601J","Bushnell",2016-07-05,2016-09-08,61,1955892.942,292495.3321,"No","No",2015,"No","No","Along large logging road","Mature Forest","Laguna Seca",2016-09-05,2016-07-09,5,"2016-07-09 21.22"
85,"Paca",1,2016,7,27,"22.56","","Laguna Seca","Yes","601J","Bushnell",2016-07-05,2016-09-08,61,1955892.942,292495.3321,"No","No",2015,"No","No","Along large logging road","Mature Forest","Laguna Seca",2016-09-05,2016-07-27,23,"2016-07-27 22.56"
127,"Paca",1,2016,8,2,"23.05","","Laguna Seca","Yes","601J","Bushnell",2016-07-05,2016-09-08,61,1955892.942,292495.3321,"No","No",2015,"No","No","Along large logging road","Mature Forest","Laguna Seca",2016-09-05,2016-08-02,29,"2016-08-02 23.05"
130,"Paca",1,2016,8,4,"23.46","","Laguna Seca","Yes","601J","Bushnell",2016-07-05,2016-09-08,61,1955892.942,292495.3321,"No","No",2015,"No","No","Along large logging road","Mature Forest","Laguna Seca",2016-09-05,2016-08-04,31,"2016-08-04 23.46"
88,"Puma",1,2016,7,27,"23.32","","Laguna Seca","Yes","601J","Bushnell",2016-07-05,2016-09-08,61,1955892.942,292495.3321,"No","No",2015,"No","No","Along large logging road","Mature Forest","Laguna Seca",2016-09-05,2016-07-27,23,"2016-07-27 23.32"
22,"Red Brocket Deer",1,2016,7,10,"8.05","","Laguna Seca","Yes","601J","Bushnell",2016-07-05,2016-09-08,61,1955892.942,292495.3321,"No","No",2015,"No","No","Along large logging road","Mature Forest","Laguna Seca",2016-09-05,2016-07-10,6,"2016-07-10 8.05"
