,site,Brand,Conservation,Logging,Hurricane,Fire,Location,Landscape,Lat,Long,Season,mean_bioma,Forest_Los,FL,mean_NDVI,sd_NDVI,Canopy_Height_m,LatLong,NEAR_DIST_ROAD,NEAR_DIST_STRM,Nat_Dist
68,409B,Moultry,No,No,Yes,No,Stock Transect,"Broadleaf forest, broken canopy",17.48439059,-89.04270834,Dry,89.8549,0,No Loss,0.92371959,0.005091555,19.9721,-1556.857492,0.00411109,0.00827493,Yes
69,408E,Scoutguard,No,No,Yes,No,Near swampy spot,Low Scrub forest,17.461049,-88.99737,Dry,86.5986,0,No Loss,0.893818479,0.040555681,9.35517,-1553.987439,2.53E-05,0.004783447,Yes
70,401C,Moultry,Yes,No,Yes,Yes,Logging Road,Secondary Forest,17.43209822,-88.8250944,Rainy,9.88923,0,No Loss,0.919943253,0.002672579,12.5038,-1548.40777,0.005842859,0.015645388,Yes
71,506G,Bushnell,No,Yes,No,No,Along wide logging road,Mature forest,17.68487163,-88.95595008,Dry,162.216,0,No Loss,0.930277484,0.006799778,19.9876,-1573.174558,0.000855765,0.002841914,No
72,510H,Moultrycam,No,Yes,Yes,No,Along wide logging road,Disturbed High forest,17.49720225,-89.04634609,Dry,71.9061,0,No Loss,0.920776557,0.006282677,21,-1558.061927,0.000848669,0.005050111,Yes
73,507H,Bushnell,No,Yes,Yes,No,Along wide logging road,Disturbed High forest,17.49249925,-89.039095,Dry,81.0487,0,No Loss,0.92437953,0.00531436,18.4429,-1557.516302,0.000998473,0.005569805,Yes
74,509H,Bushnell,No,Yes,Yes,No,Along wide logging road,Disturbed High forest,17.49602925,-89.03680697,Dry,80.9924,0,No Loss,0.924250076,0.00518761,19.3214,-1557.79058,0.000547545,0.001961823,Yes
75,504C,Scoutguard,No,Yes,No,No,Along narrow seismic line,Mature forest,17.667951,-88.953363,Dry,155.222,0,No Loss,0.935031595,0.008551695,18.5102,-1571.623659,0.004959414,0.003007246,No
76,509C,Bushnell,No,Yes,Yes,No,Along narrow logging trail,Disturbed High forest,17.494012,-89.070833,Dry,123.256,0,No Loss,0.924606518,0.004588337,19.7895,-1558.206221,0.010674655,0.011795704,Yes
77,501C,Bushnell,No,Yes,No,No,Along narrow seismic line,Mature forest,17.6713,-88.956623,Dry,173.672,0,No Loss,0.930073935,0.007607019,17.8488,-1571.979172,0.001684083,0.000717306,No
