site,Location,Cam.nr,series,picture,Species,Nr,Year,Month,Day,Hour,Comment,camera.brand,Location.1,Logging,Date.Placement,Date.Removed,obsdate,Days,Northing,Easting,Conservati,Active_Log,Logged_in,Hurricane,Fire_Damag,Location_d,Landscape,Area,Last_Record_clean,First_Obs,Last.Record_clean,date_time_obs
701D,Yalbac 701D,701,D,4809,Agouti,1,2017,8,5,6,,Moultrie,Laguna Seca,Yes,7/18/2017,9/27/2017,8/5/2017,70,1955685,292340,,,NA,,,,,,9/27/2017,7/18/2017,9/27/2017,2017-08-05 6.00
701D,Yalbac 701D,701,D,4815,Gray Fox,1,2017,8,8,14.31,,Moultrie,Laguna Seca,Yes,7/18/2017,9/27/2017,8/8/2017,70,1955685,292340,,,NA,,,,,,9/27/2017,7/18/2017,9/27/2017,2017-08-08 14.31
701D,Yalbac 701D,701,D,4812,Tamandua,2,2017,8,6,4.1,,Moultrie,Laguna Seca,Yes,7/18/2017,9/27/2017,8/6/2017,70,1955685,292340,,,NA,,,,,,9/27/2017,7/18/2017,9/27/2017,2017-08-06 4.10
701D,Yalbac 701D,701,D,4851,White-nosed Coati,1,2017,8,30,6.21,,Moultrie,Laguna Seca,Yes,7/18/2017,9/27/2017,8/30/2017,70,1955685,292340,,,NA,,,,,,9/27/2017,7/18/2017,9/27/2017,2017-08-30 6.21
701D,Yalbac 701D,701,D,4806,White-tailed Deer,1,2017,7,28,11.64,,Moultrie,Laguna Seca,Yes,7/18/2017,9/27/2017,7/28/2017,70,1955685,292340,,,NA,,,,,,9/27/2017,7/18/2017,9/27/2017,2017-07-28 11.64
701D,Yalbac 701D,701,D,4821,White-tailed Deer,1,2017,8,10,14.51,,Moultrie,Laguna Seca,Yes,7/18/2017,9/27/2017,8/10/2017,70,1955685,292340,,,NA,,,,,,9/27/2017,7/18/2017,9/27/2017,2017-08-10 14.51
701D,Yalbac 701D,701,D,4830,White-tailed Deer,1,2017,8,12,7.54,,Moultrie,Laguna Seca,Yes,7/18/2017,9/27/2017,8/12/2017,70,1955685,292340,,,NA,,,,,,9/27/2017,7/18/2017,9/27/2017,2017-08-12 7.54
701D,Yalbac 701D,701,D,4833,White-tailed Deer,1,2017,8,16,9.04,,Moultrie,Laguna Seca,Yes,7/18/2017,9/27/2017,8/16/2017,70,1955685,292340,,,NA,,,,,,9/27/2017,7/18/2017,9/27/2017,2017-08-16 9.04
701D,Yalbac 701D,701,D,4836,White-tailed Deer,1,2017,8,16,12.37,,Moultrie,Laguna Seca,Yes,7/18/2017,9/27/2017,8/16/2017,70,1955685,292340,,,NA,,,,,,9/27/2017,7/18/2017,9/27/2017,2017-08-16 12.37
701D,Yalbac 701D,701,D,4839,White-tailed Deer,1,2017,8,23,5.54,,Moultrie,Laguna Seca,Yes,7/18/2017,9/27/2017,8/23/2017,70,1955685,292340,,,NA,,,,,,9/27/2017,7/18/2017,9/27/2017,2017-08-23 5.54
701D,Yalbac 701D,701,D,4842,White-tailed Deer,1,2017,8,23,14.04,,Moultrie,Laguna Seca,Yes,7/18/2017,9/27/2017,8/23/2017,70,1955685,292340,,,NA,,,,,,9/27/2017,7/18/2017,9/27/2017,2017-08-23 14.04
701D,Yalbac 701D,701,D,4845,White-tailed Deer,1,2017,8,29,22.39,,Moultrie,Laguna Seca,Yes,7/18/2017,9/27/2017,8/29/2017,70,1955685,292340,,,NA,,,,,,9/27/2017,7/18/2017,9/27/2017,2017-08-29 22.39
701D,Yalbac 701D,701,D,4854,White-tailed Deer,1,2017,9,5,14.58,,Moultrie,Laguna Seca,Yes,7/18/2017,9/27/2017,9/5/2017,70,1955685,292340,,,NA,,,,,,9/27/2017,7/18/2017,9/27/2017,2017-09-05 14.58
701D,Yalbac 701D,701,D,4857,White-tailed Deer,1,2017,9,8,4.1,,Moultrie,Laguna Seca,Yes,7/18/2017,9/27/2017,9/8/2017,70,1955685,292340,,,NA,,,,,,9/27/2017,7/18/2017,9/27/2017,2017-09-08 4.10
701D,Yalbac 701D,701,D,4860,White-tailed Deer,1,2017,9,22,15.15,,Moultrie,Laguna Seca,Yes,7/18/2017,9/27/2017,9/22/2017,70,1955685,292340,,,NA,,,,,,9/27/2017,7/18/2017,9/27/2017,2017-09-22 15.15
701E,Yalbac 701E,701,E,4876,White-tailed Deer,1,2017,9,28,8.03,,Moultrie,Laguna Seca,Yes,9/27/2017,10/31/2017,9/28/2017,2,1955730,292704,,,NA,,,,,,9/30/2017,9/27/2017,9/30/2017,2017-09-28 8.03
701E,Yalbac 701E,701,E,4884,White-tailed Deer,1,2017,9,29,5.56,,Moultrie,Laguna Seca,Yes,9/27/2017,10/31/2017,9/29/2017,2,1955730,292704,,,NA,,,,,,9/30/2017,9/27/2017,9/30/2017,2017-09-29 5.56
701E,Yalbac 701E,701,E,4887,White-tailed Deer,1,2017,9,29,6.31,,Moultrie,Laguna Seca,Yes,9/27/2017,10/31/2017,9/29/2017,2,1955730,292704,,,NA,,,,,,9/30/2017,9/27/2017,9/30/2017,2017-09-29 6.31
701F,Yalbac 701F,701,F,4891,White-nosed Coati,1,2017,11,2,14.35,,Moultrie,Laguna Seca,Yes,10/31/2017,12/1/2017,11/2/2017,2,1955721,292709,,,NA,,,,,,11/3/2017,10/31/2017,11/4/2017,2017-11-02 14.35
701F,Yalbac 701F,701,F,4916,White-tailed Deer,1,2017,11,4,10.04,,Moultrie,Laguna Seca,Yes,10/31/2017,12/1/2017,11/4/2017,2,1955721,292709,,,NA,,,,,,11/3/2017,10/31/2017,11/4/2017,2017-11-04 10.04
701G,Yalbac 701G,701,G,4918,Agouti,1,2017,12,2,16.49,,Moultrie,Laguna Seca,Yes,12/1/2017,1/2/2018,12/2/2017,1,1955721,292708,,,NA,,,,,,12/3/2017,12/1/2017,12/3/2017,2017-12-02 16.49
702A,Yalbac 702A,702,A,187,Agouti,1,2017,2,16,6.21,,Moultrie,Laguna Seca,Yes,1/27/2017,5/15/2017,2/16/2017,100,1955449,291963,No,Yes,NA,No,No,Next main road,Mature Forest,Laguna Seca,5/8/2017,1/27/2017,5/8/2017,2017-02-16 6.21
702A,Yalbac 702A,702,A,556,Common Opossum,1,2017,4,17,19.33,,Moultrie,Laguna Seca,Yes,1/27/2017,5/15/2017,4/17/2017,100,1955449,291963,No,Yes,NA,No,No,Next main road,Mature Forest,Laguna Seca,5/8/2017,1/27/2017,5/8/2017,2017-04-17 19.33
702A,Yalbac 702A,702,A,49,Gray Fox,1,2017,1,31,9.32,,Moultrie,Laguna Seca,Yes,1/27/2017,5/15/2017,1/31/2017,100,1955449,291963,No,Yes,NA,No,No,Next main road,Mature Forest,Laguna Seca,5/8/2017,1/27/2017,5/8/2017,2017-01-31 9.32
702A,Yalbac 702A,702,A,58,Gray Fox,1,2017,1,31,19.39,,Moultrie,Laguna Seca,Yes,1/27/2017,5/15/2017,1/31/2017,100,1955449,291963,No,Yes,NA,No,No,Next main road,Mature Forest,Laguna Seca,5/8/2017,1/27/2017,5/8/2017,2017-01-31 19.39
702A,Yalbac 702A,702,A,124,Gray Fox,1,2017,2,8,22.06,,Moultrie,Laguna Seca,Yes,1/27/2017,5/15/2017,2/8/2017,100,1955449,291963,No,Yes,NA,No,No,Next main road,Mature Forest,Laguna Seca,5/8/2017,1/27/2017,5/8/2017,2017-02-08 22.06
702A,Yalbac 702A,702,A,127,Gray Fox,1,2017,2,9,10.04,,Moultrie,Laguna Seca,Yes,1/27/2017,5/15/2017,2/9/2017,100,1955449,291963,No,Yes,NA,No,No,Next main road,Mature Forest,Laguna Seca,5/8/2017,1/27/2017,5/8/2017,2017-02-09 10.04
702A,Yalbac 702A,702,A,154,Gray Fox,1,2017,2,11,15.05,,Moultrie,Laguna Seca,Yes,1/27/2017,5/15/2017,2/11/2017,100,1955449,291963,No,Yes,NA,No,No,Next main road,Mature Forest,Laguna Seca,5/8/2017,1/27/2017,5/8/2017,2017-02-11 15.05
702A,Yalbac 702A,702,A,25,Gray Fox,1,2017,2,20,15.46,,Moultrie,Laguna Seca,Yes,1/27/2017,5/15/2017,2/20/2017,100,1955449,291963,No,Yes,NA,No,No,Next main road,Mature Forest,Laguna Seca,5/8/2017,1/27/2017,5/8/2017,2017-02-20 15.46
702A,Yalbac 702A,702,A,49,Gray Fox,1,2017,2,23,15.44,,Moultrie,Laguna Seca,Yes,1/27/2017,5/15/2017,2/23/2017,100,1955449,291963,No,Yes,NA,No,No,Next main road,Mature Forest,Laguna Seca,5/8/2017,1/27/2017,5/8/2017,2017-02-23 15.44
702A,Yalbac 702A,702,A,85,Gray Fox,1,2017,2,26,19.58,,Moultrie,Laguna Seca,Yes,1/27/2017,5/15/2017,2/26/2017,100,1955449,291963,No,Yes,NA,No,No,Next main road,Mature Forest,Laguna Seca,5/8/2017,1/27/2017,5/8/2017,2017-02-26 19.58
